Date,Close,High,Low,Open,Volume
09-03-2021,226.0431976,227.5902525,224.0030262,225.1729885,33080500
10-03-2021,224.7282104,229.1566401,224.3607816,229.1566401,29746800
11-03-2021,229.2823334,231.2548143,226.5556525,227.18415,29907600
12-03-2021,227.9480133,228.0157038,225.5114069,226.2655921,22653700
15-03-2021,227.039093,227.4065219,224.1383763,227.1841377,26034900
16-03-2021,229.8431244,232.1153436,228.1316974,228.4604418,28092200
17-03-2021,229.1953125,230.6553495,225.5114043,228.334767,29562100
18-03-2021,223.0844574,226.439621,222.7073648,224.8635601,34833000
19-03-2021,222.7267151,224.7765503,221.7598095,223.3745401,46430700
22-03-2021,228.1800537,229.0599266,222.5236502,222.6493526,30127000
23-03-2021,229.7174225,233.0725859,229.224306,229.6304045,31638400
24-03-2021,227.6676178,230.1235517,227.5322516,229.9785218,25620100
25-03-2021,224.6508636,229.0986357,223.9063569,227.512911,34061900
26-03-2021,228.6538391,228.876238,223.8870014,223.8870014,25479900
29-03-2021,227.454895,228.9632655,224.2060914,228.7602088,25227500
30-03-2021,224.1770935,226.1109049,223.4519142,225.801488,24792000
31-03-2021,227.9673462,231.1871437,224.6992004,225.2019955,43623500
01-04-2021,234.3295898,234.8033642,230.1718926,230.5779912,30338000
05-04-2021,240.827179,241.6877243,234.6679804,234.7259924,36910600
06-04-2021,239.6572418,241.1462701,238.7096784,239.4155154,22931900
07-04-2021,241.6296692,242.6255806,239.0093636,239.6088403,22719800
08-04-2021,244.8688354,245.7293808,243.6602035,244.4047249,23625200
09-04-2021,247.382782,247.5181482,244.0856306,244.5013929,24326800
12-04-2021,247.4408264,249.1425898,246.1935099,246.2805426,27148700
13-04-2021,249.9354095,250.6122552,248.3303428,248.7461346,23837500
14-04-2021,247.1313934,250.2641581,246.7156311,248.9588591,23070900
15-04-2021,250.911972,251.3277343,249.20056,249.3939234,25627500
16-04-2021,252.1109619,252.3623668,249.0748936,250.8830024,24878600
19-04-2021,250.1771545,252.826496,249.2876179,251.5791795,23209300
20-04-2021,249.7130585,251.5888578,248.3400395,249.2876176,19722900
21-04-2021,251.9562836,252.05298,248.7365005,250.3705735,24030400
22-04-2021,248.6591034,253.1165236,247.1797244,251.5984749,25606200
23-04-2021,252.5073853,252.8554866,248.7557869,249.3456146,21462600
26-04-2021,252.8941345,253.7546946,251.5598297,253.0005095,19763300
27-04-2021,253.3002777,254.4799038,251.5114963,252.9231703,31014200
28-04-2021,246.135498,248.0499818,244.5787794,247.605184,46903100
29-04-2021,244.1533356,247.624538,240.7595021,247.005719,40589000
30-04-2021,243.8342438,244.7044677,241.3396403,241.4750065,30945100
03-05-2021,243.5248413,245.9324415,242.8093259,245.0138694,19626600
04-05-2021,239.5895538,242.8963843,237.6267365,242.6643216,32756100
05-05-2021,238.3132477,241.2429708,237.6847649,240.8175299,21901300
06-05-2021,241.465332,241.5910345,236.5921343,238.2938828,26491100
07-05-2021,244.1049957,245.8840985,242.8576792,243.8052426,27032900
10-05-2021,238.9997101,243.3991333,238.9416981,242.567594,29299900
11-05-2021,238.081131,238.438896,234.5422682,236.4567369,33641600
12-05-2021,231.0904388,236.2923957,230.1912237,234.1555278,36684400
13-05-2021,234.9870453,237.4719995,233.4303268,233.7977556,29624300
14-05-2021,239.9376068,240.9335183,237.3656493,237.4526672,23901100
